max_features,ngram_range,max_df,min_df,k_features,f1,precision,recall,hamming_loss,jaccard,n_features,n_samples_train,n_samples_test,time_seconds
15000,"(1, 2)",0.6,2,6000,0.6129948853949612,0.55071477195371,0.691157624946604,0.1615147442485572,0.44195574979513796,6000,7253,1807,5.111630201339722
15000,"(1, 2)",0.7,2,6000,0.6129948853949612,0.55071477195371,0.691157624946604,0.1615147442485572,0.44195574979513796,6000,7253,1807,5.621362209320068
20000,"(1, 2)",0.6,3,6000,0.6127651479121088,0.5523923855256389,0.6879538658692866,0.16092181200094868,0.44171695008228196,6000,7253,1807,7.316640853881836
15000,"(1, 2)",0.6,3,6000,0.6127651479121088,0.5523923855256389,0.6879538658692866,0.16092181200094868,0.44171695008228196,6000,7253,1807,5.558533668518066
20000,"(1, 2)",0.7,3,6000,0.6127651479121088,0.5523923855256389,0.6879538658692866,0.16092181200094868,0.44171695008228196,6000,7253,1807,6.79302978515625
15000,"(1, 2)",0.7,3,6000,0.6127651479121088,0.5523923855256389,0.6879538658692866,0.16092181200094868,0.44171695008228196,6000,7253,1807,13.288416147232056
15000,"(1, 3)",0.6,3,6000,0.6125475285171103,0.5519013360739979,0.6881674498077744,0.16111945608348485,0.44149081940257606,6000,7253,1807,7.048838376998901
15000,"(1, 3)",0.7,3,6000,0.6125475285171103,0.5519013360739979,0.6881674498077744,0.16111945608348485,0.44149081940257606,6000,7253,1807,6.981011867523193
20000,"(1, 3)",0.7,3,6000,0.6125475285171103,0.5519013360739979,0.6881674498077744,0.16111945608348485,0.44149081940257606,6000,7253,1807,6.918805837631226
20000,"(1, 3)",0.6,3,6000,0.6125475285171103,0.5519013360739979,0.6881674498077744,0.16111945608348485,0.44149081940257606,6000,7253,1807,6.504827976226807
20000,"(1, 2)",0.7,2,6000,0.61251988397118,0.5450457951706911,0.6990602306706536,0.16368882915645505,0.4414620987321284,6000,7253,1807,6.338825941085815
20000,"(1, 2)",0.6,2,6000,0.61251988397118,0.5450457951706911,0.6990602306706536,0.16368882915645505,0.4414620987321284,6000,7253,1807,8.142608165740967
15000,"(1, 3)",0.6,2,6000,0.6124067604569918,0.5488238280588932,0.6926527125160188,0.16226579176219463,0.44134458356015244,6000,7253,1807,6.9413299560546875
15000,"(1, 3)",0.7,2,6000,0.6124067604569918,0.5488238280588932,0.6926527125160188,0.16226579176219463,0.44134458356015244,6000,7253,1807,8.881549835205078
15000,"(1, 2)",0.7,3,5000,0.6118222891566265,0.5469538875799395,0.6941478000854335,0.16301683927583208,0.440737727149444,5000,7253,1807,5.5708911418914795
20000,"(1, 2)",0.7,3,5000,0.6118222891566265,0.5469538875799395,0.6941478000854335,0.16301683927583208,0.440737727149444,5000,7253,1807,5.159377098083496
15000,"(1, 2)",0.6,3,5000,0.6118222891566265,0.5469538875799395,0.6941478000854335,0.16301683927583208,0.440737727149444,5000,7253,1807,4.289346933364868
20000,"(1, 2)",0.6,3,5000,0.6118222891566265,0.5469538875799395,0.6941478000854335,0.16301683927583208,0.440737727149444,5000,7253,1807,8.760069847106934
20000,"(1, 3)",0.7,2,6000,0.6116568434839554,0.5441984351589811,0.6982058949167023,0.1640841173215274,0.44056603773584907,6000,7253,1807,6.700021028518677
20000,"(1, 3)",0.6,2,6000,0.6116568434839554,0.5441984351589811,0.6982058949167023,0.1640841173215274,0.44056603773584907,6000,7253,1807,11.071561098098755
15000,"(1, 2)",0.6,2,5000,0.6109968206470918,0.5434131736526946,0.6977787270397267,0.1644398766700925,0.43988151339706477,5000,7253,1807,4.453013896942139
15000,"(1, 2)",0.7,2,5000,0.6109968206470918,0.5434131736526946,0.6977787270397267,0.1644398766700925,0.43988151339706477,5000,7253,1807,4.694653272628784
15000,"(1, 3)",0.7,3,5000,0.6108235294117647,0.5460205283526838,0.6930798803929944,0.16345165625741165,0.43970189701897017,5000,7253,1807,8.761547803878784
15000,"(1, 3)",0.6,3,5000,0.6108235294117647,0.5460205283526838,0.6930798803929944,0.16345165625741165,0.43970189701897017,5000,7253,1807,5.880580902099609
20000,"(1, 3)",0.6,3,5000,0.6108235294117647,0.5460205283526838,0.6930798803929944,0.16345165625741165,0.43970189701897017,5000,7253,1807,7.507253885269165
20000,"(1, 3)",0.7,3,5000,0.6108235294117647,0.5460205283526838,0.6930798803929944,0.16345165625741165,0.43970189701897017,5000,7253,1807,6.775426864624023
15000,"(1, 3)",0.7,2,5000,0.6104830421377184,0.5426008968609866,0.6977787270397267,0.1647956360186576,0.4393491124260355,5000,7253,1807,9.199509143829346
15000,"(1, 3)",0.6,2,5000,0.6104830421377184,0.5426008968609866,0.6977787270397267,0.1647956360186576,0.4393491124260355,5000,7253,1807,9.012721300125122
20000,"(1, 2)",0.7,2,5000,0.6088653470867019,0.5389044250699128,0.699700982486117,0.16637678867894695,0.4376753507014028,5000,7253,1807,5.414822101593018
20000,"(1, 2)",0.6,2,5000,0.6088653470867019,0.5389044250699128,0.699700982486117,0.16637678867894695,0.4376753507014028,5000,7253,1807,5.435369968414307
20000,"(1, 3)",0.6,2,5000,0.6078303729191853,0.5382968209520672,0.6979923109782145,0.16669301921100482,0.4366065464261857,5000,7253,1807,8.390768051147461
20000,"(1, 3)",0.7,2,5000,0.6078303729191853,0.5382968209520672,0.6979923109782145,0.16669301921100482,0.4366065464261857,5000,7253,1807,5.746931791305542
